שם קידוח,אגן,ייעוד הקידוח,אתר ניטור,סוג זיהום,תאריך מדידה,עומק הדיגום,סמל פרמטר,יחידת מידה,ריכוז,סמן
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1988,,TCEY,microgr/L,25,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1988,,TECE,microgr/L,20,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1989,,TCEY,microgr/L,13,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1989,,TECE,microgr/L,55,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1990,,TCEY,microgr/L,97,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1990,,TECE,microgr/L,110,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1991,,TCEY,microgr/L,1900,
פ ניר גלים 1 קבוץ,חוף,פרטי,,,1/1/1991,,TECE,microgr/L,2400,
מק שומרה 4,גליל מערבי,חברת מקורות,,,4/23/1991,,TCEY,microgr/L,0,
מק שומרה 4,גליל מערבי,חברת מקורות,,,4/23/1991,,TECE,microgr/L,0.2,
מק ניר עם 6,חוף,חברת מקורות,,,5/6/1991,,TCEY,microgr/L,0,
מק ניר עם 6,חוף,חברת מקורות,,,5/6/1991,,TECE,microgr/L,0,
מק יד מרדכי 13,חוף,חברת מקורות,,,5/6/1991,,TCEY,microgr/L,0,
מק יד מרדכי 13,חוף,חברת מקורות,,,5/6/1991,,TECE,microgr/L,0,
מק יד מרדכי 6,חוף,חברת מקורות,,,5/6/1991,,TCEY,microgr/L,0,
מק יד מרדכי 6,חוף,חברת מקורות,,,5/6/1991,,TECE,microgr/L,0,
מק אלגיה 1,חוף,חברת מקורות,,,5/6/1991,,TCEY,microgr/L,0,
מק אלגיה 1,חוף,חברת מקורות,,,5/6/1991,,TECE,microgr/L,0,
מק יבנה 2,חוף,חברת מקורות,,,5/21/1991,,TCEY,microgr/L,0,
מק יבנה 2,חוף,חברת מקורות,,,5/21/1991,,TECE,microgr/L,0,
מק יבנה 14,חוף,חברת מקורות,,,5/21/1991,,TCEY,microgr/L,0,
מק יבנה 14,חוף,חברת מקורות,,,5/21/1991,,TECE,microgr/L,0,
מק שורק 3,חוף,חברת מקורות,,,5/21/1991,,TCEY,microgr/L,0,
מק שורק 3,חוף,חברת מקורות,,,5/21/1991,,TECE,microgr/L,0,
מק עין כרם 9,ירקתן,חברת מקורות,,,5/27/1991,,TCEY,microgr/L,0,
מק עין כרם 9,ירקתן,חברת מקורות,,,5/27/1991,,TECE,microgr/L,0,
מק נ ח רובין 2,חוף,חברת מקורות,,,5/28/1991,,TCEY,microgr/L,0,
מק נ ח רובין 2,חוף,חברת מקורות,,,5/28/1991,,TECE,microgr/L,0,
פ רובין 1,חוף,פרטי,,,5/28/1991,,TCEY,microgr/L,0,
פ רובין 1,חוף,פרטי,,,5/28/1991,,TECE,microgr/L,0,
מק שורק 6,חוף,חברת מקורות,,,5/28/1991,,TCEY,microgr/L,0.95,
מק שורק 6,חוף,חברת מקורות,,,5/28/1991,,TECE,microgr/L,0,
מק נירים 5,חוף,חברת מקורות,,,6/4/1991,,TCEY,microgr/L,0,
